uLabel,h1,h2,h3,h4,h5,ax,ay,az,uL dev_yaw,uL dev_pitch,uL dev_roll,uL Timestamp,uMyo1,uM1 d1,uM1 d2,uM1 d3,uM1 d4,uM1 d5,uM1 d6,uM1 d7,uM1 ds0,uM1 ds1,uM1 ds2,uM1 ds3,uM1 ax,uM1 ay,uM1 az,uM1 dev_yaw,uM1 dev_pitch,uM1 dev_roll,uM1 Timestamp,uMyo2,uM2 d1,uM2 d2,uM2 d3,uM2 d4,uM2 d5,uM2 d6,uM2 d7,uM2 ds0,uM2 ds1,uM2 ds2,uM2 ds3,uM2 ax,uM2 ay,uM2 az,uM2 dev_yaw,uM2 dev_pitch,uM2 dev_roll,uM2 Timestamp,uMyo3,uM3 d1,uM3 d2,uM3 d3,uM3 d4,uM3 d5,uM3 d6,uM3 d7,uM3 ds0,uM3 ds1,uM3 ds2,uM3 ds3,uM3 ax,uM3 ay,uM3 az,uM3 dev_yaw,uM3 dev_pitch,uM3 dev_roll,uM3 Timestamp,uMyo4,uM4 d1,uM4 d2,uM4 d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31596,30252,30192,30148,31084,1770,14790,-1131,-2347,0,-684,1709863197.937136,0,18614,18537,18556,18549,18525,18526,18520,18542,17297,103,68,89,-5440,-13999,6161,0,0,0,1709863197.956169,1,17790,17810,17808,17760,17646,17586,17545,17585,10458,573,97,111,2346,-15424,4008,0,0,0,1709863197.956169,2,12491,12518,12526,12518,12464,12385,12316,12273,33955,480,159,120,-1364,15251,-1873,0,0,0,1709863197.956169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31540,30564,26856,30240,31008,1808,16944,-2365,-2361,0,-698,1709863198.046171,0,18339,18404,18405,18466,18545,18494,18365,18249,16195,442,215,51,-4559,-13668,6741,0,0,0,1709863198.0609663,1,17053,17088,17154,17097,17092,17137,17175,17151,5875,100,185,67,1914,-15754,4318,0,0,0,1709863198.0609663,2,12325,12314,12330,12362,12384,12371,12333,12312,33195,134,47,16,-1634,16616,-568,0,0,0,1709863198.0609663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31548,30764,26532,30240,30976,2692,15981,-2359,-2378,0,-710,1709863198.1502614,0,17882,17898,17899,17873,17863,17869,17867,17858,11937,69,41,9,-4130,-14314,7806,0,0,0,1709863198.1667318,1,17306,17274,17251,17247,17247,17242,17250,17247,6992,84,56,42,3115,-16303,4236,0,0,0,1709863198.1667318,2,12355,12371,12353,12355,12361,12367,12366,12346,33338,10,37,22,-1504,17733,-1905,0,0,0,1709863198.1667318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31620,30552,30580,29668,31048,2122,14531,-330,-2374,0,-697,1709863198.2600324,0,17683,17661,17658,17639,17628,17631,17642,17562,10032,94,91,106,-3184,-13436,7420,0,0,0,1709863198.2745411,1,17602,17584,17557,17539,17522,17509,17503,17499,9243,171,84,61,3174,-15618,3829,0,0,0,1709863198.2745411,2,12399,12384,12362,12382,12391,12397,12406,12405,33589,71,22,18,-1375,16290,-1196,0,0,0,1709863198.2745411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31564,30580,30740,26420,30988,1703,17407,-2834,-2390,0,-717,1709863198.3689516,0,17642,17799,17925,17880,17767,17744,17761,17748,11194,346,289,77,-5800,-15033,6450,0,0,0,1709863198.3842964,1,18039,18045,18071,18091,18063,18034,18057,18028,13356,89,47,40,1748,-16456,4352,0,0,0,1709863198.3842964,2,12526,12516,12515,12523,12528,12528,12525,12507,34631,22,19,21,-1297,16554,-1227,0,0,0,1709863198.3842964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31552,30592,30732,28440,30952,3989,14635,-3490,-2445,0,-771,1709863198.476985,0,18060,18107,18207,18265,18277,18233,18183,18189,14449,360,125,94,-5491,-14494,6497,0,0,0,1709863198.4922678,1,18571,18565,18528,18493,18554,18620,18649,18652,17560,286,65,64,1564,-15960,4629,0,0,0,1709863198.4922678,2,12706,12714,12677,12700,12721,12736,12722,12702,36142,68,55,28,-2551,17068,-1016,0,0,0,1709863198.4922678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31580,30584,30732,26792,30552,919,16942,-1874,-2483,0,-807,1709863198.585822,0,18431,18414,18517,18641,18684,18685,18651,18612,17563,556,162,55,-4747,-13727,6745,0,0,0,1709863198.6017659,1,18630,18583,18555,18564,18604,18628,18625,18619,17736,144,60,18,1829,-15391,4389,0,0,0,1709863198.6017659,2,12611,12602,12613,12607,12599,12586,12573,12599,35254,59,30,23,-1608,15813,-781,0,0,0,1709863198.6017659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31564,30640,30620,28620,29488,2751,16001,-1797,-2496,0,-819,1709863198.696159,0,18241,18192,18188,18186,18192,18213,18240,18240,14620,127,21,25,-6386,-14254,5821,0,0,0,1709863198.7122846,1,18037,18037,18049,18061,18093,18106,18105,18088,13504,150,24,28,438,-15734,5420,0,0,0,1709863198.7122846,2,12429,12419,12413,12380,12350,12348,12354,12384,33541,169,12,28,-2465,16093,-749,0,0,0,1709863198.7122846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31556,30548,30564,29712,30820,848,17039,-2775,-2476,0,-792,1709863198.8087897,0,17739,17740,17754,17761,17761,17741,17747,17784,10955,11,64,44,-6930,-14706,6322,0,0,0,1709863198.8245637,1,17651,17610,17611,17603,17596,17596,17613,17603,9811,65,23,46,711,-16216,5355,0,0,0,1709863198.8245637,2,12233,12249,12255,12244,12247,12261,12241,12242,32435,24,28,21,-2621,16002,141,0,0,0,1709863198.8245637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31528,30648,30716,28596,30972,1354,17042,-3670,-2521,0,-838,1709863198.9145007,0,17555,17543,17504,17491,17517,17523,17519,17515,9095,71,77,13,-6002,-13530,5540,0,0,0,1709863198.931676,1,17326,17320,17336,17356,17411,17434,17448,17407,7966,262,47,40,570,-14769,5499,0,0,0,1709863198.931676,2,12154,12147,12166,12167,12164,12162,12158,12209,31791,33,67,56,-3637,14907,642,0,0,0,1709863198.931676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31552,30624,30764,28600,30980,1364,16755,-3823,-2554,0,-865,1709863199.0268652,0,17741,17734,17739,17750,17757,17754,17773,17767,10943,62,32,15,-6320,-14288,5601,0,0,0,1709863199.0426435,1,17621,17684,17751,17775,17797,17809,17819,17799,10983,302,172,111,376,-15514,6068,0,0,0,1709863199.0426435,2,12492,12503,12508,12503,12497,12512,12525,12530,34534,43,47,19,-3955,15884,626,0,0,0,1709863199.0426435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31536,30588,30640,27852,31076,2937,16338,-3185,-2548,0,-851,1709863199.1360905,0,18402,18420,18465,18482,18442,18389,18377,18373,16278,209,46,18,-5938,-13197,7532,0,0,0,1709863199.1518474,1,18319,18278,18235,18243,18294,18329,18368,18459,15453,351,95,107,1508,-15143,5443,0,0,0,1709863199.1518474,2,12770,12749,12707,12659,12623,12639,12695,12749,36054,289,21,5,-2736,15593,802,0,0,0,1709863199.1518474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
